"contrast","Date_days","estimate","SE","df","t.ratio","p.value"
"IntToInt - IntToSub","34",-0.0220844193767165,0.0301014464417963,32,-0.733666384418391,0.882824374009641
"IntToInt - SubToInt","34",-0.0381332296191644,0.0310730229240701,32,-1.227213384174,0.614548250390806
"IntToInt - SubToSub","34",0.0188294831798623,0.0300882814545576,32,0.625807865042094,0.923014928959819
"IntToSub - SubToInt","34",-0.0160488102424479,0.0287895625072943,32,-0.557452383598454,0.943825845258109
"IntToSub - SubToSub","34",0.0409139025565789,0.0277238315643834,32,1.47576652460768,0.463432147005338
"SubToInt - SubToSub","34",0.0569627127990268,0.0287757973366813,32,1.97953551495218,0.216790422216924
"IntToInt - IntToSub","41",-0.107944239547805,0.0335637421988188,32,-3.21609667087729,0.0149505903402742
"IntToInt - SubToInt","41",-0.101724133231973,0.0343336020179507,32,-2.96281564569858,0.0277697712573253
"IntToInt - SubToSub","41",-0.0835949915721548,0.033847072126721,32,-2.4697850159441,0.0842732018288368
"IntToSub - SubToInt","41",0.00622010631583182,0.031213010448594,32,0.199279282146654,0.997138421334235
"IntToSub - SubToSub","41",0.0243492479756499,0.0306770286254789,32,0.793729023528262,0.856750920491169
"SubToInt - SubToSub","41",0.0181291416598181,0.031517479633161,32,0.57520911795065,0.938773507127352
"IntToInt - IntToSub","48",-0.0315309730320875,0.0326967668807262,32,-0.964345286710108,0.770395916486419
"IntToInt - SubToInt","48",-0.0753909311046059,0.0327180461195058,32,-2.30426141063661,0.11826839412809
"IntToInt - SubToSub","48",-0.012954169650852,0.0289023022424006,32,-0.448205459281644,0.969497179961732
"IntToSub - SubToInt","48",-0.0438599580725184,0.0364419970985067,32,-1.20355528139581,0.629119315347127
"IntToSub - SubToSub","48",0.0185768033812355,0.0330589123469078,32,0.56193026516715,0.942575181363588
"SubToInt - SubToSub","48",0.0624367614537539,0.0330799586303563,32,1.88744980462152,0.253451056574766
"IntToInt - IntToSub","55",0.0567529013370364,0.031243479904425,32,1.81647183702474,0.284443823729758
"IntToInt - SubToInt","55",-0.0902498678694856,0.0312446110306102,32,-2.88849388398749,0.0331119249100262
"IntToInt - SubToSub","55",0.0673778342069477,0.0276257701097962,32,2.43894863162765,0.0898925748449614
"IntToSub - SubToInt","55",-0.147002769206522,0.0346171215176642,32,-4.24653358689891,0.000957043386563106
"IntToSub - SubToSub","55",0.0106249328699113,0.0313895294305906,32,0.338486529191379,0.986397213676092
"SubToInt - SubToSub","55",0.157627702076433,0.0313906552940495,32,5.02148491644625,0.00010571272445925
"IntToInt - IntToSub","62",-0.0167886022707312,0.0295294782371418,32,-0.568537044099027,0.940701065179857
"IntToInt - SubToInt","62",-0.158834183669408,0.034202487585087,32,-4.64393659304076,0.000311721138581689
"IntToInt - SubToSub","62",-0.0264968272232933,0.0296353753566958,32,-0.894094537503692,0.807929577849563
"IntToSub - SubToInt","62",-0.142045581398677,0.0360574387319012,32,-3.93942516147172,0.00223635042471926
"IntToSub - SubToSub","62",-0.00970822495256212,0.0317582147393243,32,-0.305691772420097,0.989894153553646
"SubToInt - SubToSub","62",0.132337356446114,0.0361442149655963,32,3.66137033470167,0.00473245781443277
"IntToInt - IntToSub","69",-0.0299367543343899,0.0320365042469166,32,-0.934457583251181,0.786665002554799
"IntToInt - SubToInt","69",-0.208419353027064,0.0313037522059508,32,-6.65796712342503,9.55674053559896e-07
"IntToInt - SubToSub","69",-0.120091880686466,0.029398483576547,32,-4.08496854518956,0.00149928249330766
"IntToSub - SubToInt","69",-0.178482598692674,0.0353787377832721,32,-5.04491143200323,9.8820415451728e-05
"IntToSub - SubToSub","69",-0.0901551263520766,0.0337046142474063,32,-2.67486005596442,0.0540195151549602
"SubToInt - SubToSub","69",0.0883274723405976,0.0330089127263429,32,2.6758673656678,0.0538982323169109
"IntToInt - IntToSub","76",-0.0138556578211059,0.0416475624642369,32,-0.332688325589376,0.98706398363686
"IntToInt - SubToInt","76",-0.362959066121678,0.0373411508712952,32,-9.7200824734272,2.67820210453351e-10
"IntToInt - SubToSub","76",-0.147049830955631,0.0374168893596014,32,-3.93003890682584,0.00229439679672894
"IntToSub - SubToInt","76",-0.349103408300572,0.0456975353007033,32,-7.63943626288306,6.16457722646402e-08
"IntToSub - SubToSub","76",-0.133194173134525,0.0457594448558421,32,-2.91074713764847,0.0314218756457527
"SubToInt - SubToSub","76",0.215909235166046,0.0418780238633006,32,5.1556691373696,7.18225959644991e-05
"IntToInt - IntToSub","84",-0.0137854965029562,0.0418052210729719,32,-0.329755378613914,0.987393189435115
"IntToInt - SubToInt","84",-0.320509937813022,0.0344552832402257,32,-9.30220005966557,7.63584973029197e-10
"IntToInt - SubToSub","84",-0.106039050546318,0.0419314285285295,32,-2.52886806549343,0.0743394841768532
"IntToSub - SubToInt","84",-0.306724441310065,0.0401874243748671,32,-7.63234882755733,6.2855628812919e-08
"IntToSub - SubToSub","84",-0.0922535540433621,0.0467558256601749,32,-1.97309218136513,0.219225139376798
"SubToInt - SubToSub","84",0.214470887266703,0.040318696250856,32,5.31939043694028,4.47778887343597e-05
"IntToInt - IntToSub","113",-0.210478819691532,0.0294859296001728,32,-7.13827993709578,2.46941490811281e-07
"IntToInt - SubToInt","113",-0.172622613509503,0.0385529109219684,32,-4.47755070580517,0.000499879275684401
"IntToInt - SubToSub","113",-0.233239228939857,0.0328247867309136,32,-7.1055824627856,2.70588110140579e-07
"IntToSub - SubToInt","113",0.0378562061820288,0.0379386298993549,32,0.997827446126948,0.751694280360247
"IntToSub - SubToSub","113",-0.0227604092483247,0.0321010797639731,32,-0.70902316731005,0.892778229130495
"SubToInt - SubToSub","113",-0.0606166154303535,0.0405880058414286,32,-1.493461286745,0.453100708921543
"IntToInt - IntToSub","124",-0.020744159308135,0.0307232185880252,32,-0.675194861134124,0.905707525162471
"IntToInt - SubToInt","124",-0.0752905931914908,0.0365736757262798,32,-2.05860066554347,0.188495029859302
"IntToInt - SubToSub","124",-0.0363768136085617,0.0311989086204129,32,-1.16596429866014,0.65216993318478
"IntToSub - SubToInt","124",-0.0545464338833558,0.0340280414994706,32,-1.60298481721919,0.391334115826168
"IntToSub - SubToSub","124",-0.0156326543004267,0.0281717189973119,32,-0.554905943152363,0.944530016385923
"SubToInt - SubToSub","124",0.0389137795829291,0.034458139052871,32,1.12930589557438,0.674460358213652
"IntToInt - IntToSub","153",-0.0169807412981794,0.03014873835165,32,-0.563232235462683,0.942208578862354
"IntToInt - SubToInt","153",0.0840683864870422,0.0277695858156187,32,3.02735471264245,0.0237826972803117
"IntToInt - SubToSub","153",0.0834448629705455,0.0275611506734392,32,3.02762623953004,0.0237670946080277
"IntToSub - SubToInt","153",0.101049127785222,0.0299940405032234,32,3.36897350573232,0.0101537384869587
"IntToSub - SubToSub","153",0.100425604268725,0.0298011676915857,32,3.36985467509315,0.0101308553466943
"SubToInt - SubToSub","153",-0.000623523516496683,0.0273918430916353,32,-0.0227631092369644,0.999995666096615
